0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:24:26 -0500] "GET /cs336Final/revenueMostByCustomer.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:25:18 -0500] "GET /cs336Final/revenueMostByCustomer.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:28:02 -0500] "GET /cs336Final/revenueMostByCustomer.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:38:37 -0500] "GET /cs336Final/revenueMostByCustomer.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:39:57 -0500] "GET /cs336Final/revenueMostByCustomer.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:48:01 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:48:25 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [11/Dec/2019:05:00:51 -0500] "POST /cs336Final/saleReport.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [11/Dec/2019:05:00:51 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:05:03:19 -0500] "POST /cs336Final/saleReport.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [11/Dec/2019:05:07:13 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [11/Dec/2019:05:07:20 -0500] "POST /cs336Final/saleReport.jsp HTTP/1.1" 200 715
